Alpes du Nord,Alpes du Sud,Jura,Massif Central,Pyrénées,Vosges,bon,débutant,intermediaire,inferieur à 1000,entre 1000 et 1500,entre 1500 et 2000,entre 2000 et 2500,supérieur à 2000,Entre 187 et 109 pistes,Entre 98 et 50 pistes,Entre 49 et 30 pistes,Entre 29 et 15 pistes,Entre 14 et 1 pistes,inferieur à 30 km ,entre 30 km et 100 km,entre 100 et 200 km,superieur à 200 km,inferieur à 10 (forfait),entre 10 et 20 (forfait),entre 20 et 30 (forfait),entre 30 et 40 (forfait),entre 40 et 50 (forfait),superieur à 50 (fortfait),inferieur a 10 km (fond),entre 10 et 20 km (fond),entre 20 et 30 (fond),entre 30 et 50 (fond),entre 50 et 100 km (fond),superieur a 100 km (fond),domaine  pas connecte,domaine connecte
Font d'Urle,Saint Véran,,,Val d’Azun,,Val d'Allos,Val Pelens,Les Habères,,Méaudre,Les Saisies,Aussois,,,Superdevoluy / La Joue du Loup,La Bresse Hohneck,La Colmiane,Les Estables – Mézenc,Les Fourgs,Saint Sorlin d'Arves,,,,Les Fourgs,Le Lac Blanc,Luz Ardiden,Sixt Fer à Cheval,,Passy Plaine Joux,,Lus la Jarjatte,Doucy,,,Bernex,Les Contamines Montjoie
Gresse en Vercors,Sainte Anne la Condamine,,,Val Louron,,Valberg,Espace Alpin Bellefontaine,Les Houches,,Laguiole,Notre Dame de Bellecombe,Gavarnie Gèdre,,,Avoriaz,Molines en Queyras,Val Louron,Bramans,Lus la Jarjatte,Barèges,,,,Le Semnoz,Chabanon,Puy-Saint-Vincent,Morillon,,Combloux,,La Tania,Chatel,,,Gavarnie Gèdre,Saint Gervais Mont-Blanc
La Chapelle d'Abondance,Sauze Super Sauze,,,,,Vars,La Combe Saint Pierre,Les Karellis,,Lus la Jarjatte,Lans en Vercors,Les Orres,,,Praz de Lys Sommand,Saint Véran,Morzine,Les Coulmes,Le Bleymard – Mont Lozère,Le Mont Dore,,,,Brameloup,Thollon les Memises,Isola 2000,Les Carroz,,La Giettaz,,Le Bleymard – Mont Lozère,Abriès en Queyras,,,Isola 2000,Chamonix
La Clusaz,Serre Chevalier,,,,,Ventoux - Mont Serein,La Source du Doubs – Mouthe,Les Saisies,,Flumet - St Nicolas la Chapelle,Manigod,Valfréjus,,,Villard de Lans,Vaujany,Roubion - Les Buisses,Col d'Ornon,Gaschney 360,Font-Romeu – Bolquère – Pyrénées 2000,,,,La Bresse Brabant,Auron,Ax 3 Domaines,Samoëns,,Les Carroz,,Pralognan la Vanoise,Chamrousse,,,Le Grand Puy,Megève
La Giettaz,Serre Eyraud,,,,,Besse Super Besse,Les Fourgs,Manigod,,Prabouré,Les Carroz,Les Menuires,,,Orcières Merlette,Oz en oisans,Morillon,La Bresse Lispach,Goulier,Nistos,,,,Gaschney 360,Ancelle,La Pierre St Martin,Flaine,,Guzet,,Champagny en Vanoise,Le Sappey en Chartreuse,,,Les Orres,La Bresse Brabant
La Norma,Superdevoluy / La Joue du Loup,,,,,Le Mont Dore,Les Plans d’Hotonnes – Plateau de Retord,Méaudre,,Abondance,Col de Rousset,Saint Martin de Belleville,,,Les 7 Laux,Savoie Grand Revard,Ancelle,La Bresse Brabant,Le Schnepfenried,Sainte Foy Tarentaise,,,,Laguiole,Aillons Margeriaz,Chamrousse,,,Gourette,,Mont Saxonnex,Manigod,,,Le Grand Valtin,Méaudre
La Plagne,Turini Camp d'Argent,,,,,Ax 3 Domaines,Menthières,Mont Saxonnex,,Roc d'Enfer - St Jean d'Aulps,Praz de Lys Sommand,Chamonix,,,Corrençon en Vercors,Le Mont Dore,Le Semnoz,Bussang – Larcenaire,Col d'Ornon,Besse Super Besse,,,,Passy Plaine Joux,Arvieux en Queyras,Orcières Merlette,,,Saint Lary Soulan,,Villard Reculas,Peisey Vallandry,,,La Schlucht,Barèges
La Rosière 1850,Val d'Allos,,,,,Beille,Alti Aigoual,Montriond,,Saint Pierre de Chartreuse / Le Planolet,Saint Léger les Mélèzes,Val d'Allos,,,Pra-Loup,Areches Beaufort,Les Brasses,Val Pelens,Menthières,Villard Reculas,,,,Ventoux - Mont Serein,Le Mourtis,Les 7 Laux,,,Les Houches,,Saint Gervais Mont-Blanc,Les Angles,,,Roubion - Les Buisses,La Mongie
La Sambuy,Val Pelens,,,,,Font-Romeu – Bolquère – Pyrénées 2000,Brameloup,Morillon,,Bellevaux - Hirmentaz,Crest Voland Cohennoz,Vars,,,Montriond,Lans en Vercors,Formiguères,Le Bleymard – Mont Lozère,Saint Hilaire du Touvet,Notre Dame de Bellecombe,,,,Font d'Urle,Albiez Montrond,Superdevoluy / La Joue du Loup,,,La Mongie,,Les Menuires,Le Désert d'Entremont,,,Mijanès – Donezan,Aussois
La Tania,Valberg,,,,,Gavarnie Gèdre,La Croix de Bauzon,Morzine,,Col de Marcieu,Chatel,Les Arcs,,,,Les Houches,Saint Colomban des Villards,Romme,Laguiole,Samoëns,,,,Col de Rousset,Les Brasses,Gourette,,,Romme,,Saint Martin de Belleville,Crévoux,,,Hautacam,La Bresse Lispach
